gene_symbol	query_name	mpi
TNT4	5FpO	3.781522032938899
Tofr	5FpO	1.9863063679889044
5arJ	5FpO	2.4049220503344984
BDTj	5FpO	2.6189043474272196
p1My	5FpO	2.6045025310148997
SmcG	5FpO	1.7316808718404824
jJ2J	5FpO	2.013212857033361
PRY4	5FpO	1.4838648772545877
KMTI	5FpO	2.4674038312738706
MBhj	5FpO	0.5265159660668098
6J6k	5FpO	2.5528900185245846
dwaa	5FpO	0.6359389548779879
KWQg	5FpO	2.5017350093772346
TD4b	5FpO	1.4203185146152744
PgSt	5FpO	-0.7987420888343129
vqIu	5FpO	1.573647586410642
ng3t	5FpO	1.2793256951326908
h99C	5FpO	0.12114578122048025
rrYb	5FpO	1.1282747880320083
aGmd	5FpO	-0.1474042599962932
bgF6	5FpO	-0.17122653203899282
f0Pt	5FpO	2.574363773114138
wjQm	5Q9k	0.9943827007180417
rmzQ	5Q9k	-0.059876231923119916
x8rj	5Q9k	0.01398423617173457
JgMH	5Q9k	1.246430456548964
5iRk	5Q9k	0.3879760795211261
PExd	5Q9k	-0.6827751152517353
j7Vg	5Q9k	2.3441673751781815
q4gE	5Q9k	0.41261259083545604
McUH	5Q9k	-0.08040938316795952
vBxA	5Q9k	-1.6163491976379194
ikBP	5Q9k	0.3135012771001804
MGdy	5Q9k	-1.077156204626676
HPbz	5Q9k	-0.8489027307426643
Euun	5Q9k	-0.6269550581409509
RGyC	5Q9k	1.538537982186536
tjTq	5Q9k	0.3598624853736739
suFQ	5Q9k	0.32839238723872577
NH5j	5Q9k	1.0157627466569958
1SrW	5Q9k	-0.19360367980119633
vHIu	5Q9k	0.19707393564003406
SpQv	5Q9k	-0.06120548872545993
9C86	5Q9k	1.4172999251280476
cIkA	5Q9k	0.6419823687680707
y1Ct	5Q9k	0.4022750063060751
5URg	5Q9k	0.7920189102692297
02fD	5Q9k	-2.2290863846645896
roA4	5Q9k	1.2884691461183073
bUhm	5Q9k	-0.8059444955385958
Kb5V	5Q9k	1.8778045922896827
UcgU	5Q9k	1.7602786719867338
1eIZ	5Q9k	-1.2732454930186916
ho5m	5Q9k	-0.36043389947401877
pTbc	5Q9k	0.7230410657832536
003j	5Q9k	1.9106902618015764
zeOI	5Q9k	1.7101951132324262
WG3x	5Q9k	-0.21509288219908934
9WGi	5Q9k	1.3299528782870138
cmF8	5Q9k	1.3701087384883972
rqri	5Q9k	0.37692291226820146
TNT4	5Q9k	0.5612572322811981
Tofr	5Q9k	0.8264903937400682
5arJ	5Q9k	0.10702323104206707
BDTj	5Q9k	0.943075046831219
p1My	5Q9k	-0.05268729147652523
SmcG	5Q9k	1.0901201714682331
jJ2J	5Q9k	0.5878099426551633
PRY4	5Q9k	0.20006786607376423
KMTI	5Q9k	1.0024248698488398
MBhj	5Q9k	0.8716158230719238
6J6k	5Q9k	1.4491866261162838
dwaa	5Q9k	0.8579087546669223
KWQg	5Q9k	0.23472343829531267
TD4b	5Q9k	1.2225662628281406
PgSt	5Q9k	-0.37549522093795634
vqIu	5Q9k	0.935534959126892
ng3t	5Q9k	1.2731466745794808
h99C	5Q9k	1.1788147176963568
rrYb	5Q9k	0.36194195273318935
aGmd	5Q9k	2.377980696957397
bgF6	5Q9k	-3.1128956128217435
f0Pt	5Q9k	-0.16167170174496023
wjQm	75A6	-0.5079660287517216
rmzQ	75A6	-0.1100366808787048
x8rj	75A6	-2.247281086531877
JgMH	75A6	0.6299045839502354
5iRk	75A6	0.252700284590523
PExd	75A6	3.176618481574993
j7Vg	75A6	-1.1050299774929269
q4gE	75A6	1.8024235056973037
McUH	75A6	-0.166343003400688
vBxA	75A6	-0.6873415035535689
ikBP	75A6	0.2651744320249518
MGdy	75A6	-0.2474846706960899
HPbz	75A6	0.1632354295891747
Euun	75A6	-0.8962012033983222
RGyC	75A6	0.334268981758986
tjTq	75A6	3.4104469998846274
suFQ	75A6	1.8936990115046721
NH5j	75A6	1.7314596321999962
1SrW	75A6	-0.007394256552877387
vHIu	75A6	-0.3055251537049064
SpQv	75A6	-0.02994797611578782
9C86	75A6	4.06285110919612
cIkA	75A6	1.368415148020402
y1Ct	75A6	0.15881119787147832
5URg	75A6	5.6000693879311925
02fD	75A6	-0.4885596671118263
roA4	75A6	0.9277055302477628
bUhm	75A6	0.4377672712280519
Kb5V	75A6	-3.1000052652661685
UcgU	75A6	0.2514204386490698
1eIZ	75A6	0.23100621047584394
ho5m	75A6	3.2493366420616705
pTbc	75A6	-2.4710680865391037
003j	75A6	-2.691959488189944
zeOI	75A6	-0.6248528073282844
WG3x	75A6	0.40218707102681406
9WGi	75A6	2.377254010926166
cmF8	75A6	-2.9985189673895083
rqri	75A6	-2.7474077558029046
TNT4	75A6	-3.5682506771509384
Tofr	75A6	-3.472020609044725
5arJ	75A6	-1.9726509325354833
BDTj	75A6	-3.095917467778976
p1My	75A6	-3.7366668209977685
SmcG	75A6	-3.9921497061142004
jJ2J	75A6	-3.443480895538104
PRY4	75A6	-3.061632507711967
KMTI	75A6	-3.8673447165026413
MBhj	75A6	-1.3630802788776166
6J6k	75A6	1.8865087575505857
dwaa	75A6	1.10351505314256
KWQg	75A6	1.4422235252403113
TD4b	75A6	-0.894177321549591
PgSt	75A6	-0.7077945086338006
vqIu	75A6	-2.8276827394747377
ng3t	75A6	0.20460746554700265
h99C	75A6	1.1059288780617427
rrYb	75A6	0.594496037315954
aGmd	75A6	-0.8266650037181481
bgF6	75A6	-0.08198993741362187
f0Pt	75A6	-1.674985661903827
wjQm	7Lrg	-0.6975651568385347
rmzQ	7Lrg	-1.2366256718279194
x8rj	7Lrg	1.6824743696602193
JgMH	7Lrg	-3.856304923954614
5iRk	7Lrg	-1.2354264735754992
PExd	7Lrg	0.927933798949672
j7Vg	7Lrg	-0.4687683488751443
q4gE	7Lrg	2.2208634605830495
McUH	7Lrg	0.019960508339497814
vBxA	7Lrg	-0.9952077137168491
ikBP	7Lrg	2.665087236320252
MGdy	7Lrg	0.8479661985118473
HPbz	7Lrg	0.3158266466650204
Euun	7Lrg	5.876401201034365
RGyC	7Lrg	-0.4535482070193102
tjTq	7Lrg	1.9067654933628637
suFQ	7Lrg	2.5357313780856763
NH5j	7Lrg	-0.8353572173884911
1SrW	7Lrg	-1.9836382777875394
vHIu	7Lrg	-0.9423481936759495
SpQv	7Lrg	0.47361520868794504
9C86	7Lrg	-1.0027318982124291
cIkA	7Lrg	1.7057828872450884
y1Ct	7Lrg	1.2936531759021979
5URg	7Lrg	-0.2614304238810161
02fD	7Lrg	1.2992929824229742
roA4	7Lrg	-2.0429028064115333
bUhm	7Lrg	-0.8951945512892275
Kb5V	7Lrg	1.467315312519393
UcgU	7Lrg	4.538768143919634
1eIZ	7Lrg	-0.4978400205123354
ho5m	7Lrg	1.7854942523259185
pTbc	7Lrg	2.655420243320528
003j	7Lrg	3.219192909098613
zeOI	7Lrg	0.8353071167465238
WG3x	7Lrg	-3.9030747804218815
9WGi	7Lrg	0.07698740119690366
cmF8	7Lrg	1.3986404787126123
rqri	7Lrg	-0.8103182574590727
TNT4	7Lrg	2.673731583387355
Tofr	7Lrg	1.5765985655658927
5arJ	7Lrg	2.0533988627434856
BDTj	7Lrg	1.1686138858514499
p1My	7Lrg	0.4899615905898004
SmcG	7Lrg	1.2851495877864054
jJ2J	7Lrg	1.1522373096134533
PRY4	7Lrg	-2.6567358870189226
KMTI	7Lrg	0.4669654186273056
MBhj	7Lrg	0.17579752163761436
6J6k	7Lrg	2.8711175946710186
dwaa	7Lrg	2.62610404567423
KWQg	7Lrg	2.229042921457546
TD4b	7Lrg	3.4855144963407274
PgSt	7Lrg	1.474179279104178
vqIu	7Lrg	1.5840016559069527
ng3t	7Lrg	1.7622217172205403
h99C	7Lrg	0.6987140147951951
rrYb	7Lrg	1.3702977002364316
aGmd	7Lrg	-0.20422069279592614
bgF6	7Lrg	0.41083779710756113
f0Pt	7Lrg	1.8817168601252383
wjQm	7rdY	-1.27598033077115
rmzQ	7rdY	-0.7494092561131905
x8rj	7rdY	-4.109228602826803
JgMH	7rdY	-0.5747369492667024
5iRk	7rdY	-0.2253074097708082
PExd	7rdY	-0.6339628927434957
j7Vg	7rdY	-0.04082384829110853
q4gE	7rdY	0.44410449224807413
McUH	7rdY	0.15194479785872128
vBxA	7rdY	0.47267563992337885
ikBP	7rdY	2.435911427051514
MGdy	7rdY	0.7744027955507908
HPbz	7rdY	0.1576816444980223
Euun	7rdY	1.107917734261395
RGyC	7rdY	-1.7434728428048887
tjTq	7rdY	-1.335455638395834
suFQ	7rdY	-0.8986860736509028
NH5j	7rdY	-0.12477970339497774
1SrW	7rdY	-1.3396587940801759
vHIu	7rdY	-4.721298621020052
SpQv	7rdY	0.4995794872748035
9C86	7rdY	-1.0479100904261234
cIkA	7rdY	-2.9197843892934454
y1Ct	7rdY	0.3986062782007767
5URg	7rdY	4.226881020161778
02fD	7rdY	-1.0814638251466775
roA4	7rdY	-2.0777864615917943
bUhm	7rdY	-0.06174987819681271
Kb5V	7rdY	-6.125059115001329
UcgU	7rdY	1.8964538130701474
1eIZ	7rdY	0.47060934800960647
ho5m	7rdY	3.5361536511376004
pTbc	7rdY	1.9148457090101874
003j	7rdY	-0.7957988974352314
zeOI	7rdY	-2.630804891464956
WG3x	7rdY	-2.227582948167478
9WGi	7rdY	0.13011648163459047
cmF8	7rdY	3.929930631208283
rqri	7rdY	0.07194798170205201
TNT4	7rdY	3.9160815859924902
Tofr	7rdY	2.3915517110299205
5arJ	7rdY	3.5208547277394855
BDTj	7rdY	2.6075809437197304
p1My	7rdY	3.298287613310074
SmcG	7rdY	3.2553432706151484
jJ2J	7rdY	3.3769443938455863
PRY4	7rdY	-1.4904474669926273
KMTI	7rdY	2.8403099009739545
MBhj	7rdY	1.2740032803136332
6J6k	7rdY	2.2974565933127606
dwaa	7rdY	-0.9736766251394827
KWQg	7rdY	1.326187235229952
TD4b	7rdY	1.4657751574367197
PgSt	7rdY	-1.051251025911714
vqIu	7rdY	-1.2544984826132197
ng3t	7rdY	-3.5884242444023062
h99C	7rdY	-0.2632768607390562
rrYb	7rdY	-2.704610425493112
aGmd	7rdY	0.00431658047460399
bgF6	7rdY	0.6074716584251836
f0Pt	7rdY	-1.7772689357941507
wjQm	7uWz	2.119251922143697
rmzQ	7uWz	-0.6618566511490397
x8rj	7uWz	0.6325068397622111
JgMH	7uWz	-0.16527272548453398
5iRk	7uWz	-0.857219412945741
PExd	7uWz	2.9698372726931543
j7Vg	7uWz	-0.4556092619127691
q4gE	7uWz	-0.18322846808317877
McUH	7uWz	-0.4364997396424481
vBxA	7uWz	-0.16404264329208557
ikBP	7uWz	-0.37549622017412726
MGdy	7uWz	-0.9211078837203007
HPbz	7uWz	0.43522754403005026
Euun	7uWz	1.7153094958464914
RGyC	7uWz	0.09782270782129095
tjTq	7uWz	1.8971776276795589
suFQ	7uWz	-2.2748129280564493
NH5j	7uWz	-0.6831745052207601
1SrW	7uWz	-1.0970852641000997
vHIu	7uWz	1.8560534203494725
SpQv	7uWz	0.13994483926728443
9C86	7uWz	0.4052359412324085
cIkA	7uWz	0.3755532135996189
y1Ct	7uWz	0.29485042638700293
5URg	7uWz	1.895712553929886
02fD	7uWz	0.7431130441608877
roA4	7uWz	0.512655951228753
bUhm	7uWz	-0.3825559529516888
Kb5V	7uWz	1.046945503857671
UcgU	7uWz	0.24085960097633086
